**NEXORA  |  IT Learning Paths  **Role-Based Learning & Development

**NEXORA GLOBAL CORPORATION**

IT Department

**  IT Department — Role-Based Learning Paths  **

**What to Learn, In What Order, By When**

Version 1.0   ·   2026   ·   Internal Use Only

# **How Learning Paths Work**

Each role in the IT Department has a structured learning path covering mandatory training, recommended upskilling, and long-term certification goals. All mandatory items are assigned automatically in NexoraLearn on your start date. Recommended items are self-enrol.

| **NexoraLearn** | learn.nexoraglobal.com — the LMS for all mandatory and optional training |
| --- | --- |
| **Learning stipend** | USD 2,000/year for external courses, conferences, certifications — request in Workday > My Learning > External Development |
| **Study leave** | Up to 5 days/year for approved external exams — request in Workday > Time Off > Study Leave |
| **Certification funding** | Exam fees reimbursed on first pass; second attempt at employee expense |

# **Learning Path: Technical Product Owner (TPO)**

## **Weeks 1–2: Mandatory Foundation**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Data Privacy ****&**** GDPR Fundamentals** | NexoraLearn | 2h |
| **Information Security Awareness** | NexoraLearn | 1.5h |
| **Code of Conduct ****&**** Ethics Attestation** | Workday | 30 min |
| **Jira for Product Owners** | NexoraLearn | 2h |
| **Nexora Analytics Platform Overview** | NexoraLearn | 2h |
| **Agile ****&**** Scrum Fundamentals** | NexoraLearn | 3h |

## **Weeks 3–8: Role Deepening**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Writing Great User Stories** | NexoraLearn | 2h |
| **SQL for Product Owners** | NexoraLearn | 4h |
| **Data Catalogue Orientation (Nexora)** | NexoraLearn | 1.5h |
| **Stakeholder Management Fundamentals** | LinkedIn Learning | 3h |
| **dbt Fundamentals (reader-level)** | dbt Learn (external) | 4h |
| **Confluence for Documentation** | NexoraLearn | 1h |

## **Months 3–12: Growth ****&**** Certification**

| **Module / Certification** | **Platform** | **Notes** |
| --- | --- | --- |
| **Professional Scrum Product Owner I (PSPO I)** | Scrum.org | Recommended by Month 6; exam fee reimbursed |
| **Snowflake Hands-On Essentials: Data Warehousing** | Snowflake University (external, free) | Recommended by Month 9 |
| **Stakeholder Influencing (Nexora Leadership Programme)** | NexoraLearn | Available from Band 4+ |
| **IIBA Business Analysis Fundamentals** | LinkedIn Learning | Optional — for TPOs with BA background |

# **Learning Path: Site Reliability Engineer (SRE)**

## **Weeks 1–2: Mandatory Foundation**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Data Privacy ****&**** GDPR Fundamentals** | NexoraLearn | 2h |
| **Information Security Awareness** | NexoraLearn | 1.5h |
| **Cloud Security Baseline (Nexora)** | NexoraLearn | 2h |
| **Nexora AWS Architecture Overview** | NexoraLearn | 2h |
| **Datadog for SREs** | NexoraLearn | 2h |
| **Incident Response Runbook Certification** | NexoraLearn | 3h + practical sign-off |

## **Weeks 3–8: Role Deepening**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **SRE Fundamentals (Google SRE Book — selected chapters)** | External (free) | Self-paced |
| **Terraform at Nexora** | NexoraLearn | 3h |
| **Observability Engineering (Datadog Learning Centre)** | Datadog external | 4h |
| **AWS CloudWatch Deep Dive** | AWS Skill Builder | 3h |
| **Linux Systems Administration Refresher** | NexoraLearn / Linux Foundation | 4h |
| **Python for SREs (scripting and automation)** | LinkedIn Learning | 5h |

## **Months 3–12: Growth ****&**** Certification**

| **Module / Certification** | **Platform** | **Notes** |
| --- | --- | --- |
| **AWS Certified Solutions Architect — Associate (SAA-C03)** | AWS (external) | Target: Month 6; exam fee reimbursed |
| **AWS Certified DevOps Engineer — Professional** | AWS (external) | Target: Year 2 (after SA-Associate) |
| **Certified Kubernetes Administrator (CKA)** | CNCF (external) | Target: Month 9–12 if Kubernetes is in scope |
| **Chaos Engineering Practicum** | Gremlin Academy (external) | Optional — recommended for senior SREs |

# **Learning Path: FinOps Analyst**

## **Weeks 1–2: Mandatory Foundation**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Data Privacy ****&**** GDPR Fundamentals** | NexoraLearn | 2h |
| **Information Security Awareness** | NexoraLearn | 1.5h |
| **Cloud Security Baseline (Nexora)** | NexoraLearn | 2h |
| **Nexora AWS Architecture Overview** | NexoraLearn | 2h |
| **FinOps Framework Fundamentals** | FinOps Foundation (external, free) | 3h |
| **AWS Cost Explorer ****&**** Billing** | AWS Skill Builder | 2h |

## **Months 3–12: Growth ****&**** Certification**

| **Module / Certification** | **Platform** | **Notes** |
| --- | --- | --- |
| **FinOps Certified Practitioner (FOCP)** | FinOps Foundation (external) | Target: Month 4; exam fee reimbursed |
| **AWS Certified Cloud Practitioner** | AWS (external) | Target: Month 3 — validates cloud breadth |
| **Anaplan for FP****&****A (cross-functional)** | NexoraLearn | Recommended to understand Finance partner's tools |
| **Power BI Data Analyst Associate (PL-300)** | Microsoft Learn (external) | Target: Month 9 — for FinOps dashboard building |

# **Learning Path: Cloud Security Engineer**

## **Weeks 1–2: Mandatory Foundation**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Data Privacy ****&**** GDPR Fundamentals** | NexoraLearn | 2h |
| **Cloud Security Baseline (Nexora)** | NexoraLearn | 2h |
| **OWASP Top 10 for Developers** | NexoraLearn | 2h |
| **SOC 2 Awareness for Technical Teams** | NexoraLearn | 1.5h |
| **Nexora AWS Architecture Overview** | NexoraLearn | 2h |
| **Wiz Platform Orientation** | NexoraLearn | 1.5h |

## **Months 3–12: Growth ****&**** Certification**

| **Module / Certification** | **Platform** | **Notes** |
| --- | --- | --- |
| **AWS Certified Security — Specialty (SCS-C02)** | AWS (external) | Target: Month 6; exam fee reimbursed |
| **Certified Cloud Security Professional (CCSP)** | ISC2 (external) | Target: Year 2 (requires experience) |
| **Terraform Security Best Practices** | HashiCorp Learn (external, free) | Complete by Month 3 |
| **ISO 27001 Lead Implementer** | External provider | Optional — relevant for compliance-focused role |

# **Learning Path: Developer Experience (Platform Engineer / CI/CD)**

## **Weeks 1–2: Mandatory Foundation**

| **Module** | **Platform** | **Duration** |
| --- | --- | --- |
| **Data Privacy ****&**** GDPR Fundamentals** | NexoraLearn | 2h |
| **Information Security Awareness** | NexoraLearn | 1.5h |
| **Cloud Security Baseline (Nexora)** | NexoraLearn | 2h |
| **Nexora AWS Architecture Overview** | NexoraLearn | 2h |
| **Terraform at Nexora** | NexoraLearn | 3h |
| **GitHub Actions CI/CD Fundamentals** | NexoraLearn / GitHub Learning | 3h |

## **Months 3–12: Growth ****&**** Certification**

| **Module / Certification** | **Platform** | **Notes** |
| --- | --- | --- |
| **HashiCorp Certified: Terraform Associate** | HashiCorp (external) | Target: Month 4; exam fee reimbursed |
| **AWS Certified Developer — Associate** | AWS (external) | Target: Month 6 |
| **Certified Kubernetes Application Developer (CKAD)** | CNCF (external) | Target: Month 9 if Kubernetes in scope |
| **Internal Developer Platform Design (Team Topologies)** | NexoraLearn / External book | Recommended reading — reimbursed |

	Nexora Global Corporation  ·  Confidential — Internal Use Only
